City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
392,mogan,27.8839,-15.7254,70.79,77,17,11.54,ES,1690506842
393,ancud,-41.8697,-73.8203,49.28,96,100,8.59,CL,1690506842
394,el nido,11.1858,119.3956,84.2,73,100,19.98,PH,1690506843
395,grimmen,54.1121,13.0405,59.99,92,100,4.74,DE,1690506843
396,takoradi,4.8845,-1.7554,75.52,92,100,7.87,GH,1690506843
397,porto torres,40.835,8.3972,68.18,69,1,2.73,IT,1690506844
398,bardai,11.65,7.2333,73.15,87,100,7.38,NG,1690506844
399,aasiaat,68.7098,-52.8699,34.83,92,43,4.81,GL,1690506845
400,forster,-32.1667,152.5167,67.37,50,0,5.99,AU,1690506845
401,maun,-19.9833,23.4167,56.35,45,5,6.38,BW,1690506846
402,kerewan,13.4898,-16.0888,80.89,82,21,8.81,GM,1690506846
403,saint-philippe,-21.3585,55.7679,63.99,69,6,6.55,RE,1690506847
404,raja,8.4596,25.678,68.09,96,39,2.95,SS,1690506848
405,safotu,-13.4513,-172.4018,80.28,79,100,16.28,WS,1690506848
406,mil'kovo,55.6078,37.7956,69.06,82,100,6.31,RU,1690506849
407,uliastay,47.7417,96.8444,72.39,29,28,3.74,MN,1690506849
408,greenville,35.6127,-77.3663,84.36,83,100,1.01,US,1690506850
409,nuuk,64.1835,-51.7216,50.61,81,100,8.05,GL,1690506850
410,tanjung pinang,0.9167,104.45,86.04,76,100,10.47,ID,1690506851
411,marquette,46.5333,-87.6335,78.24,91,100,11.01,US,1690506622
412,igarka,67.4667,86.5833,72.25,66,36,11.07,RU,1690506852
413,i-n-salah,27.1935,2.4607,100.36,7,0,12.86,DZ,1690506852
414,northam,51.0333,-4.2167,64.65,97,32,7.0,GB,1690506853
415,weno,7.4515,151.8468,87.75,84,75,10.36,FM,1690506853
416,westport,41.1415,-73.3579,84.09,82,75,4.0,US,1690506761
417,tremp,42.167,0.8949,64.51,79,73,3.38,ES,1690506854
418,pacific grove,36.6177,-121.9166,77.02,75,0,6.91,US,1690506567
419,elk city,35.412,-99.4043,96.78,24,0,12.66,US,1690506855
420,kouvola,60.8667,26.7,58.23,88,0,1.14,FI,1690506855
421,mount gambier,-37.8333,140.7667,56.52,87,5,8.84,AU,1690506856
422,teguise,29.0605,-13.564,70.02,68,100,18.41,ES,1690506856
423,tsubata,36.6667,136.7333,97.21,57,4,3.09,JP,1690506857
424,klyuchi,52.2667,79.1667,66.63,66,100,6.82,RU,1690506857
425,vodnyy,63.5046,53.4095,58.95,99,100,7.76,RU,1690506858
426,darlowo,54.421,16.4107,59.94,80,96,6.04,PL,1690506858
427,guerrero negro,27.9769,-114.0611,76.62,64,13,15.03,MX,1690506859
428,bonthe,7.5264,-12.505,76.55,92,33,7.05,SL,1690506861
429,fort-shevchenko,44.5086,50.263,82.02,44,0,10.85,KZ,1690506861
430,vershino-darasunskiy,52.35,115.5167,63.07,78,87,1.12,RU,1690506862
431,abdulino,53.7,53.6667,68.34,78,6,1.28,RU,1690506862
432,balcarce,-37.8462,-58.2552,42.82,96,100,1.99,AR,1690506863
433,peniche,39.3558,-9.3811,65.08,89,0,9.19,PT,1690506863
434,eyl,7.9803,49.8164,76.37,71,23,23.64,SO,1690506864
435,sinabang,2.4803,96.3801,80.53,77,100,0.76,ID,1690506864
436,upington,-28.4478,21.2561,48.58,29,0,3.44,ZA,1690506865
437,gao,16.6362,1.637,91.65,34,100,9.86,ML,1690506865
438,minas de marcona,-15.2119,-75.1103,55.49,84,13,11.3,PE,1690506866
439,papao,-17.75,-149.55,80.28,79,4,7.05,PF,1690506866
440,hola,51.5377,23.1902,55.58,76,18,7.29,PL,1690506867
441,coxim,-18.5067,-54.76,77.31,35,3,2.98,BR,1690506816
442,rockingham,42.9668,-71.0995,77.58,87,29,1.01,US,1690506868
443,sikonge,-5.6333,32.7667,61.57,48,5,5.88,TZ,1690506868
444,puerto madero,14.7208,-92.4215,82.6,94,75,0.0,MX,1690506868
445,ierapetra,35.01,25.7353,84.15,31,0,18.01,GR,1690506693
446,tadmur,34.5608,38.2805,81.66,25,0,9.95,SY,1690506578
447,concordia,-31.393,-58.0209,52.79,78,85,5.99,AR,1690506667
448,gereshk,31.8209,64.5701,85.95,17,5,2.98,AF,1690506870
449,yabelo,4.8833,38.0833,61.02,65,99,7.49,ET,1690506871
450,kristinehamn,59.3098,14.1081,48.76,93,11,4.7,SE,1690506871
451,rabo de peixe,37.8,-25.5833,72.91,94,75,11.5,PT,1690506872
452,anzio,41.4853,12.6179,73.85,65,0,6.85,IT,1690506872
453,selfoss,63.9331,-20.9971,47.05,88,18,6.33,IS,1690506872
454,tual,-5.6667,132.75,79.09,83,92,20.07,ID,1690506873
455,cam ranh,11.9214,109.1591,84.16,74,40,9.22,VN,1690506874
456,ivdel',60.6911,60.4206,61.7,96,51,4.32,RU,1690506875
457,serrinha,-11.6642,-39.0075,64.58,98,76,4.85,BR,1690506652
458,zemio,5.0314,25.1361,67.03,94,94,2.57,CF,1690506876
459,hoquiam,46.9809,-123.8893,72.84,77,100,11.5,US,1690506876
460,paradip garh,20.3167,86.6167,84.18,83,12,15.32,IN,1690506877
461,dudinka,69.4058,86.1778,76.62,49,0,8.34,RU,1690506878
462,sinop,41.7711,34.8709,62.78,86,9,9.1,TR,1690506878
463,kapa'a,22.0752,-159.319,87.78,74,40,16.11,US,1690506879
464,berezovyy,51.6667,135.7,80.19,55,100,2.75,RU,1690506879
465,kailua-kona,19.6406,-155.9956,85.96,74,40,8.05,US,1690506879
466,tutoia,-2.7619,-42.2744,79.95,84,8,14.41,BR,1690506880
467,amahai,-3.3333,128.9167,79.75,82,56,10.33,ID,1690506880
468,yugorsk,61.3133,63.3319,60.57,93,100,6.82,RU,1690506882
469,chui,-33.6971,-53.4616,48.99,79,100,3.36,UY,1690506882
470,tuam,53.5167,-8.85,54.23,94,100,5.99,IE,1690506883
471,dhidhdhoo,6.8833,73.1,82.58,75,74,4.9,MV,1690506758
472,jiayuguan,39.8167,98.3,85.01,16,0,8.08,CN,1690506883
473,tuy hoa,13.0833,109.3,85.12,68,100,15.3,VN,1690506884
474,blackwater,-23.5833,148.8833,70.7,93,6,7.76,AU,1690506884
475,revda,56.801,59.9303,63.45,94,59,6.91,RU,1690506885
476,argo,37.6333,22.7333,76.78,77,0,2.71,GR,1690506885
477,laojunmiao,39.8333,97.7333,81.23,18,0,11.81,CN,1690506886
478,nowshahr,36.649,51.496,73.35,94,40,0.0,IR,1690506886
479,lesnoy,57.6198,63.0784,63.7,86,35,6.04,RU,1690506887
480,usinsk,65.9939,57.5281,59.81,86,54,7.67,RU,1690506887
481,scarborough,54.2797,-0.4044,61.66,91,99,3.0,GB,1690506888
482,puerto cabezas,14.0351,-83.3888,81.28,78,84,13.94,NI,1690506888
483,kashmar,35.2383,58.4656,81.12,29,0,5.3,IR,1690506889
484,puttaparthi,14.1652,77.8117,73.85,81,100,17.43,IN,1690506889
485,bubaque,11.2833,-15.8333,81.88,85,100,11.81,GW,1690506889
486,al bawiti,28.3492,28.8659,85.98,17,52,7.61,EG,1690506890
487,kenai,60.5544,-151.2583,62.69,80,100,10.36,US,1690506890
488,luena,-11.7833,19.9167,54.32,43,41,3.42,AO,1690506891
489,alofi,-19.0595,-169.9187,73.29,83,100,3.44,NU,1690506891
490,trabzon,40.9167,39.8333,75.29,78,75,6.91,TR,1690506891
491,salaqi,40.5414,110.5108,72.39,64,100,3.53,CN,1690506892
492,lodwar,3.1191,35.5973,81.54,54,49,6.85,KE,1690506892
493,morehead city,34.7229,-76.726,85.01,85,75,13.8,US,1690506853
494,geraldton,-28.7667,114.6,55.81,94,75,4.61,AU,1690506893
495,gaiman,-43.2897,-65.4929,39.94,89,8,3.36,AR,1690506894
496,minggang,32.4586,114.0486,81.36,78,28,11.05,CN,1690506894
497,fuerte olimpo,-21.0415,-57.8738,68.67,75,8,4.94,PY,1690506895
498,mosty,53.4122,24.5387,52.32,73,16,4.56,BY,1690506895
499,genhe,50.7833,121.5167,72.28,55,12,6.73,CN,1690506895
500,kamen'-na-obi,53.7884,81.3423,64.96,77,100,6.24,RU,1690506896
